REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2020/11/01 00:30:00,962.07,57.27,TRADE
TAS1,2020/11/01 01:00:00,952.77,63.50,TRADE
TAS1,2020/11/01 01:30:00,940.73,49.72,TRADE
TAS1,2020/11/01 02:00:00,918.33,48.98,TRADE
TAS1,2020/11/01 02:30:00,944.85,48.99,TRADE
TAS1,2020/11/01 03:00:00,943.22,46.70,TRADE
TAS1,2020/11/01 03:30:00,937.13,46.37,TRADE
TAS1,2020/11/01 04:00:00,959.53,46.02,TRADE
TAS1,2020/11/01 04:30:00,960.81,45.26,TRADE
TAS1,2020/11/01 05:00:00,970.89,45.41,TRADE
TAS1,2020/11/01 05:30:00,999.53,49.55,TRADE
TAS1,2020/11/01 06:00:00,1013.34,46.84,TRADE
TAS1,2020/11/01 06:30:00,1026.25,34.56,TRADE
TAS1,2020/11/01 07:00:00,1049.14,35.80,TRADE
TAS1,2020/11/01 07:30:00,1052.69,50.34,TRADE
TAS1,2020/11/01 08:00:00,1059.87,70.40,TRADE
TAS1,2020/11/01 08:30:00,1070.01,80.68,TRADE
TAS1,2020/11/01 09:00:00,1072.89,50.34,TRADE
TAS1,2020/11/01 09:30:00,1056.74,86.05,TRADE
TAS1,2020/11/01 10:00:00,1039.31,61.34,TRADE
TAS1,2020/11/01 10:30:00,1014.52,59.31,TRADE
TAS1,2020/11/01 11:00:00,978.65,51.36,TRADE
TAS1,2020/11/01 11:30:00,965.79,50.59,TRADE
TAS1,2020/11/01 12:00:00,940.45,51.42,TRADE
TAS1,2020/11/01 12:30:00,924.29,50.34,TRADE
TAS1,2020/11/01 13:00:00,916.09,50.35,TRADE
TAS1,2020/11/01 13:30:00,908.07,50.34,TRADE
TAS1,2020/11/01 14:00:00,921.72,50.34,TRADE
TAS1,2020/11/01 14:30:00,932.93,50.34,TRADE
TAS1,2020/11/01 15:00:00,939.29,50.34,TRADE
TAS1,2020/11/01 15:30:00,954.85,50.34,TRADE
TAS1,2020/11/01 16:00:00,959.7,50.44,TRADE
TAS1,2020/11/01 16:30:00,999.81,50.67,TRADE
TAS1,2020/11/01 17:00:00,1042.04,53.32,TRADE
TAS1,2020/11/01 17:30:00,1081.16,47.38,TRADE
TAS1,2020/11/01 18:00:00,1135.29,78.21,TRADE
TAS1,2020/11/01 18:30:00,1151.76,41.25,TRADE
